threshold,oof_precision,oof_recall,oof_f1,oof_specificity,hard_precision,hard_recall,hard_f1,hard_specificity,hard_accuracy
0.41500000000000004,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.42,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.425,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.43,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.435,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.44,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.445,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.45,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.455,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.46,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.465,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.47000000000000003,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.47500000000000003,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.48,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.485,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.49,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.495,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.5,0.5609756097560976,0.773109243697479,0.6501766784452297,0.6712328767123288,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.505,0.5625,0.7563025210084033,0.6451612903225806,0.680365296803653,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.51,0.5625,0.7563025210084033,0.6451612903225806,0.680365296803653,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.515,0.5625,0.7563025210084033,0.6451612903225806,0.680365296803653,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.52,0.5625,0.7563025210084033,0.6451612903225806,0.680365296803653,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
0.522727,0.5625,0.7563025210084033,0.6451612903225806,0.680365296803653,0.6388888888888888,0.92,0.7540983606557377,0.48,0.7
